('Basic EPS', '-', '0.74', '-0.98', '-1.14', '-2.37')
         367450 function calls (353030 primitive calls) in 1.187 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      215    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      211    0.001    0.000    0.128    0.001 re.py:271(_compile)
      210    0.000    0.000    0.128    0.001 re.py:232(compile)
      196    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      196    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      185    0.000    0.000    0.003    0.000 _lxml.py:307(comment)
      177    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  176/114    0.000    0.000    0.126    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  170/141    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      168    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      166    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      149    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      148    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      148    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      148    0.001    0.000    0.009    0.000 sre_compile.py:536(_compile_info)
      148    0.000    0.000    0.048    0.000 sre_compile.py:598(_code)
      148    0.001    0.000    0.126    0.001 sre_compile.py:759(compile)
      148    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      148    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      148    0.000    0.000    0.076    0.001 sre_parse.py:919(parse)
      145    0.000    0.000    0.000    0.000 types.py:164(__get__)
      137    0.000    0.000    0.000    0.000 typing.py:319(__hash__)
    137/6    0.000    0.000    0.225    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      136    0.001    0.000    0.001    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:397(freeze)
  132/129    0.000    0.000    0.000    0.000 element.py:1302(string)
      130    0.000    0.000    0.001    0.000 typing.py:110(_type_check)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      124    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      122    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      122    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
      121    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
      120    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      119    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      114    0.001    0.000    0.347    0.003 {method 'read' of '_io.BufferedReader' objects}
      114    0.001    0.000    0.002    0.000 typing.py:600(__init__)
      114    0.000    0.000    0.347    0.003 client.py:608(_safe_read)
      110    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
    107/5    0.000    0.000    0.228    0.046 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    107/5    0.000    0.000    0.228    0.046 <frozen importlib._bootstrap>:978(_find_and_load)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      106    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      106    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      105    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      105    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       99    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
